email,password,student_code,student_name,grade_level,section
reyesjuan.qscnhs@gmail.com,qscnhsreyes,47123985,Reyes Juan R,7,Milky Way
cruzmaria.qscnhs@gmail.com,qscnhscruz,62354891,Cruz Maria A,7,Milky Way
santoscarlos.qscnhs@gmail.com,qscnhssantos,89571234,Santos Carlos M,7,Milky Way
garciaana.qscnhs@gmail.com,qscnhsgarcia,35629487,Garcia Ana S,7,Sombrero
limmiguel.qscnhs@gmail.com,qscnhslim,74218653,Lim Miguel B,7,Sombrero
fernandezlisa.qscnhs@gmail.com,qscnhsfernandez,51387924,Fernandez Lisa C,8,Pinwheel
torresjose.qscnhs@gmail.com,qscnhstorres,96743215,Torres Jose D,8,Pinwheel
ramosangel.qscnhs@gmail.com,qscnhsramos,28467931,Ramos Angel E,8,Pinwheel
aquinojenny.qscnhs@gmail.com,qscnhsaquino,63915782,Aquino Jenny F,8,Whirlpool
castromark.qscnhs@gmail.com,qscnhscastro,47139862,Castro Mark G,8,Whirlpool
diazsofia.qscnhs@gmail.com,qscnhsdiaz,85627349,Diaz Sofia H,9,Triangulum
moralespaul.qscnhs@gmail.com,qscnhsmorales,32496175,Morales Paul I,9,Triangulum
villanuevakim.qscnhs@gmail.com,qscnhsvillanueva,79841523,Villanueva Kim J,9,Triangulum
sorianoann.qscnhs@gmail.com,qscnhssoriano,56239847,Soriano Ann K,9,Sunflower
valdezalex.qscnhs@gmail.com,qscnhsvaldez,41973286,Valdez Alex L,9,Sunflower
romualdokaren.qscnhs@gmail.com,qscnhsromualdo,68354921,Romualdo Karen M,10,Black Eye
riveraandrew.qscnhs@gmail.com,qscnhsrivera,95712348,Rivera Andrew N,10,Black Eye
mendozapatricia.qscnhs@gmail.com,qscnhsmendoza,23586479,Mendoza Patricia O,10,Black Eye
floresmichelle.qscnhs@gmail.com,qscnhsflores,74169352,Flores Michelle P,10,Cartwheel
gonzaleschris.qscnhs@gmail.com,qscnhsgonzales,38942716,Gonzales Chris Q,10,Cartwheel
bautistajason.qscnhs@gmail.com,qscnhsbautista,52689437,Bautista Jason R,11,Cigar
manalojessica.qscnhs@gmail.com,qscnhsmanalo,17354869,Manalo Jessica S,11,Cigar
navarrodaniel.qscnhs@gmail.com,qscnhsnavarro,84972635,Navarro Daniel T,11,Cigar
lopezerica.qscnhs@gmail.com,qscnhslopez,61239487,Lopez Erica U,11,Southern Pinwheel
santossarah.qscnhs@gmail.com,qscnhssantos,45761893,Santos Sarah V,11,Southern Pinwheel
delacruzkevin.qscnhs@gmail.com,qscnhsdelacruz,92814756,Delacruz Kevin W,12,Tadpole
castillomaria.qscnhs@gmail.com,qscnhscastillo,37495268,Castillo Maria X,12,Tadpole
ruizcarlos.qscnhs@gmail.com,qscnhsruiz,68523971,Ruiz Carlos Y,12,Tadpole
torresanna.qscnhs@gmail.com,qscnhstorres,14367982,Torres Anna Z,12,Antennae
davidmark.qscnhs@gmail.com,qscnhsdavid,59648237,David Mark A,12,Antennae
